Timestamp,IP_Source,IP_Destination,Bytes_Sent,Bytes_Received,Request_Type,Status_Code
2024-01-01 00:00:00,10.0.0.1,1.1.1.1,913,1852,POST,404
2024-01-01 00:01:00,172.16.0.1,8.8.4.4,2840,8205,DELETE,500
2024-01-01 00:02:00,192.168.1.1,8.8.4.4,7458,8170,POST,403
2024-01-01 00:03:00,10.0.0.1,9.9.9.9,8805,6666,DELETE,403
2024-01-01 00:04:00,10.0.0.1,8.8.4.4,5166,5584,PUT,503
2024-01-01 00:05:00,172.16.0.1,8.8.4.4,6069,4111,POST,403
2024-01-01 00:06:00,192.168.1.1,8.8.4.4,1807,312,PUT,503
2024-01-01 00:07:00,192.168.1.1,9.9.9.9,7624,6337,POST,200
2024-01-01 00:08:00,10.0.0.1,8.8.4.4,6424,8865,PUT,500
2024-01-01 00:09:00,192.168.1.2,1.1.1.1,6942,9258,PUT,503
2024-01-01 00:10:00,10.0.0.1,9.9.9.9,1728,2099,POST,200
2024-01-01 00:11:00,10.0.0.1,1.1.1.1,3292,5473,POST,403
2024-01-01 00:12:00,10.0.0.1,9.9.9.9,4686,4598,POST,403
2024-01-01 00:13:00,10.0.0.1,8.8.4.4,1109,3158,GET,200
2024-01-01 00:14:00,172.16.0.1,1.1.1.1,6718,7208,DELETE,403
2024-01-01 00:15:00,192.168.1.1,9.9.9.9,9964,7450,GET,200
2024-01-01 00:16:00,172.16.0.1,8.8.8.8,3207,3220,GET,503
2024-01-01 00:17:00,172.16.0.1,8.8.4.4,5965,9924,PUT,503
2024-01-01 00:18:00,172.16.0.1,9.9.9.9,9839,2305,POST,200
2024-01-01 00:19:00,10.0.0.1,8.8.8.8,2743,1204,DELETE,503
2024-01-01 00:20:00,192.168.1.2,9.9.9.9,3677,4549,PUT,503
2024-01-01 00:21:00,192.168.1.1,8.8.8.8,9605,6345,GET,503
2024-01-01 00:22:00,192.168.1.2,8.8.4.4,5500,6247,POST,404
2024-01-01 00:23:00,172.16.0.1,1.1.1.1,1713,9938,PUT,500
2024-01-01 00:24:00,172.16.0.1,8.8.8.8,9771,1698,POST,403
2024-01-01 00:25:00,192.168.1.2,9.9.9.9,5642,5589,PUT,404
2024-01-01 00:26:00,192.168.1.2,8.8.4.4,7442,9687,POST,503
2024-01-01 00:27:00,192.168.1.2,8.8.8.8,1356,4249,GET,200
2024-01-01 00:28:00,172.16.0.1,9.9.9.9,6826,8495,DELETE,503
2024-01-01 00:29:00,172.16.0.1,9.9.9.9,5914,2607,GET,500
